categorie	tag	word	prononciation	meaning	example
sense	composed	気付く	きづく	Percevoir, réaliser, remarquer	
feeling		気味	きみ	sensation	
character		水臭い	みずくさい	Distant, reservé	
		水銀	すいぎん	Mercure Vif argent	
		汐	しお	Marée du soir  (On utilise souvent kanjis du matin)	
body		汗	あせ	sueur, transpiration	
body		汚れる	よごれる	to get dirty, to become dirty   to become sullied, to become corrupted, to lose one's chastity	
body		汚れる	けがれる	Se salir qqchose	
loca		池	いけ	Étang marre bassin...	
few	expression	決して	けっして	never, by no means,  not in the least,  in no way	
right		決まり	きまり	arrangement, convention, coutume,  habitude, règle, règlement,  résolution, usage	
	double	沁み沁み	しみじみ	Serieusement  earnestly, keenly, fully, deeply, heartily, seriously	
		沈む	しずむ	(s') enfoncer, couler, sombrer, tomber décliner (soleil) se sentir déprimé	太陽が水平線の下に沈んだ。 The sun sank below the horizon.
		沈没	ちんぼつ	immersion, naufrage	彼らは沈没する船を見捨てた。 Ils ont abandonné le navire en perdition.
		没入 (する)	ぼつにゅう	immersion, submersion	
		沸かす	わかす	amener à ébullition,  chauffer,  faire bouillir	
		沸く	わく	bouillir, chauffer, bouillonner	
	short	沿い	ぞい	Le long de	
		泉	いずみ	fontaine, source	
country		法令	ほうれい	lois et ordonances	
country		法律	ほうりつ	loi	
		泡立つ	あわだつ	bouillonner, mousser	
		波	なみ	vague	
		泣き声	なきこえ 泣く: pleurer	Sanglots	
people		泥棒	どろぼう	Cambrioleur	
		注射	ちゅうしゃ	injection, piqûre	
mental		注意	ちゅうい	Attention, faire attention	
decide		注文する	ちゅうもん	Passer commande, nomination	
country		洋式	ようしき	à la manière occidentale	
cloth		洋服	ようふく	Vêtements occidentaux	
body		洗う	(顔をあらいます) 洗う	Laver	
cloth		洗濯する	せんたく	Faire la lessive	
cloth		洗濯物	せんたくもの	Lessive, linge à laver	
weather		洪水	こうずい	Inondation	
		流す	ながす 流れる : couler	Faire couler, verser	
judgement		浅い	あさい	peu profond, superficiel short (time), early, young	
country		浮世絵	うきよえ	Image du monde flottant	
interact		浮気 (する)	うわき	Tromper	
location		海岸	かいがん	Bord de mer	
location 		海洋	かいよう	Océan	
people		消息	しょうそく	news (from somebody), letter, contact	
	ERROR	消息	しょうそく	les pompiers qui conduisent le camion de pompier.	
body		涙	なみだ	larme	
		液体	えきたい	fluide, liquide	
judgement		涼しい	すずしい	Frais, rafraichissant	
judgement		深い	ふかい	Profond	
judgement		深刻	しんこく	Grave sérieux	
		混ぜる	まぜる	Mélanger, remuer	
judgement		混乱	こんらん	chaos, confusion, désordre	
circulation 		渋滞	じゅうたい	blocage, délai, embouteillage (circulation),  retardement, stagnation	
getting		渡す		Remettre	
sense		温い	ぬるい	tiède	
		温まる	あたたまる  温める	Se rechauffer	
right		測定	そくてい	mesure	
location		湖	みずうみ	Lac	
weather		湿度	しつど	Humidité	
time		満月	まんげつ	pleine lune	
time		満潮	まんちょう	marée haute	
preparation		準備をする	じゅんび	Preparer le dîner	
		溜まる	たまる Diff de 貯まる (sauver de l'argent...) Intransitifs	S'accumuler	
weather		溢れる	あふれる	déborder, inonder	
weather		溶ける	とける	fondre, dissoudre.	
	ERROR	溶ける	とける	Un noyé s'accroche même à une brindille (Lit: celui qui se nuit attrape même un brin de paille)	
		滑る	すべる Fort	Glisser	
location		滝	たき 瀧 [たき (taki)]	cascade	雨が滝のように降ってきた。
		滞在する	たいざい:séjour	Séjourner	
paper		漫画	まんが	Manga	
paper		漫画家	まんがか	Mangaka	
	ERROR	潮が満ち始める	潮:しお 満ちる:みちる	La marée commence à monter	
	expression	潰す	つぶす	Ecraser, broyer -> tuer le temps	
judgement		激動	げきどう	tumulte, violemment secoué	
judgement		濃い	こい	épais, dense, fort	濃いスープ コーヒーはどんなふうにしましょうか。濃いブラックがいいですか。
judgement		濃度	のうど	concentration, densité	
		瀬	せ	courant, rapides, torrent	
weather		火事	かじ	incendie	
	ERROR	火事	かじ	Incendie	
		灰皿	はいざえあ	Cendrier	
		点く	つく Intransitifs	Prendre feu Allumer ( électricité)	
interact	thanks	為てやる	してやる	to do for (someone)	
	logic	為に	ため	À cause de	
		無くす	なくす	Égarer	
	composed	無くなる	なくなる	disparaître, mourir, se perdre	
money		無料	むりょう	Gratuit, libre	
right		無理	むり	Impossible, deraisonnable	
	expression	無理やり	むりやり	À contrecoeur,  Malgré soi	
judgement		無駄な	むだ	Inutile	
		焦げる	こげる	Bruler, roussir	
speed		焦る	あせる Fort	Se presser	
	logic	然も	しかも	d'ailleurs, de plus, en plus	
food		焼き肉,	焼肉	Viande grillée, bbq coréen	やきにく
food		焼く	やく 焼ける	Cuire  rotir, griller	
		煙	けむり	fumée	
house		煙突	えんとつ	cheminée	
		照	てる Fort	Briller	
judgement		煩わしい	わずらわしい	énervant, compliqué, ennuyeux	
character		熟する	じゅく:maturité	Mûrir	
body		熱がある	ねつ	Avoir de pa fièvre	
character		熱心な	ねっしん	enthousiasme, zèle	
		燃える	もえる	brûler (intransitif)	
		燃やす	もやす	brûler.	
