categorie	tag	word	prononciation	meaning	example
judgement		可笑しな	おかしな	Ridicule	
language		可能形	かのうけい	Forme potentielle	
food		台所	だいどころ	Cuisine	
weather		台風	たいふう	Typhon	
interact		叱られる	しかられる	Être grondé	
interact		合コン	ごうコン	Soiree arrangé entre etudiants	
movement		合掌	がっしょう	joindre les mains pour prier	
accomplish		合格	ごうかく	éligibilité, réussir (examen),  succès	
judgement		合理的な	合理:ごうり (Sensé, conforme à la raison)	Rationnel	
		合致	がっち	agreement,  concurrence,  conformance, compliance	
judgement		吉事	きちじ	auspicious event	
movement		吊る	つる	accrocher, pendre, suspendre	
people		同士	どうし	camarade, compagnon	
interact		同居 (する)	どうきょ	vivre ensemble	
mental		同意する	どうい すdevantべき	Consentir	
thanks		同罪	どうざい	same offense, same offence	
society		名刺	めいし	Carte de visite	
language		名詞	めいし	Nom (grammatical)	
body		吐く	つく	Respirer soupirer	
location 	short	向こう	むこう	l'autre partie, le côté opposé, par delà (l’autre comédie)	
location	short	向こうに	むこう	De l'autre côté	
thing		向日葵	ひまわり	Tournesol	
people		君	きみ	Tu (familier)	
language		否定	ひてい	negation  Démenti Refus	
		含む	ふくむ	Inclure, contenir, comporter, retenir To embrace	
movement		吸う	すう	Fumer	
screen		吹き替え,	ふきかえ	Doublage	
surprised		呆れる	あきれる	être stupéfait,  ébahi, frappé de stupeur	君の厚かましいのには呆れたよ。 Je suis étonné par ton audace.
location		呈示 (する)	ていし	exhibition	
	ERROR	呈示 (する)	ていし	tattling, telling on (someone)	
interact		呟く	つぶやく	Marmonner murmurer	
location	short	周りに	まわり	Autour de	
location 		周囲	しゅうい	alentour,  circonférence, environnant,  environs	
sense		味	あじ	Gout	
society	composed	呼び出し	よびだし	Convocation	
society	composed	呼び寄せる	よびよせる	to call, to summon,  to send for,  to call together	
interact		命じる	めいじる	Ordonner	
interact		命令する	めいれい	Ordonner	
shape		和風	わふう	de style japonais	
character		品がある		Être distingué (avoir de la distinction)	
thing		品物	しなもの	marchandise, objet, produit	
school		哲学的な	哲学:てつがく (philosophie)	Philosophique	
people	short	唯一	ゆいいつ	Seul, unique	
society		商業	しょうぎょう	Affaire, commerce	
language		問い	とい	Problème, question	
	composed	問い合わせ	といあわせ	enquiry, inquiry, ENQ, query, interrogation	
		喋りすぎる	しゃべりすぎる	Parler trop	
feeling		喜び	Vient de 喜ぶ(よろこぶ)	Joie, réjouissance	
feeling		喜ぶ	よろこぶ	Se rejouir	
feeling		喜んで		En se rejouissant	
food		喫煙	きつえん	Fumeur (lieu) Autorisation de fumer Action de fumer	
food		喫茶店	きっさてん	Café	
interact		嘘をつく	うそをつく	Mentir Dire un mensonge	
interact		嘲る	嘲ける, あざける	Se railler de  Se moquer de	
interact		噂する	うわさ:potin	Jaser, faire des ragots	
body		噛む	かむ	Mordre macher	
		囀り	さえずり	Gazouillement	
	logic	因る	よる	Être du à Causer par	
society		団体	だんたい	association, organisation	
feeling		困る	こまる	Être géné, embarrassé, ennuyé	
		図書	としょ	livre	
shape		固い	かたい  硬い	Dur,  raide, rigide	
shape		固まる	かたまる	durcir, geler.	
country		国旗	こっき		合衆国の国旗は星条旗と呼ばれる。 Le drapeau national des États-Unis d'Amérique est appelé la bannière étoilée.
country		国民	こくみん	Citoyen, nation, peuple	
country		国立図書館	こくりつ としょかん	Bibliothèque nationale	
location		土地柄	とちがら	local colour, local color	
feeling		圧力	あつりょく	pression,  stress	
location		在所	ざいしょ	one's home village, one's residence	
location		地下	ちか	sous-sol, souterrain	
character		地元	じもと	Du pays, Local	
thing		地図	ちず	Carte, plan	
location		地獄	じごく	Empire des ténèbres	
school		地理	ちり	géographie	
location		地面	は濡れている	Le sol est trempé	じめん:sol 濡れる:ぬれる:être tremper (濡れている) faire l'amour
quantity	equal	均整	きんせい	proportion (bien proportionné), symétrie	
		埋める	うめる	Remplir,  Boucher, combler	
		塗る	ぬる	Peindre	
		塵	ごみ	Déchet detritus	
school		塾	じゅく	cours privé	
location		墓	はか	tombe	
location		墓地	ぼち	Cimetière	
school		墨	すみ	encre de Chine,  encre noire,  pierre d'encre	
break		壊す	こわす	Briser (transitif)	
break		壊す	こわす 壊れる	Briser casser detruire	
money	composed	売り切る	うりきる	Tout vendre	
location		売り場	うりば	Lieu de ventes	
money		売却	ばいきゃく	Vente	
shape		変容	へんよう	Changement d'apparence	
time		夕べ	ゆうべ	La nuit dernière	
time		夕方	ゆうがた	Soir  (adverbiale)	
food		夕食	ゆうしょく	dîner	
	ERROR	外が暗くなりた	くらく	L'exterieur est devenu sombre	
		外す	はずす	to unfasten, to undo to remove, to take off,  to miss (a target)	
location		外	そと	A l'exterieur	
location		外に		À l'exterieur	
country		外交官	がいこうかん	diplomate	
movement		外出 (する)	がいしゅつ	sortir	
lot		多過ぎる	おおすぎる	to be too numerous, to be too much	
time		夜中	よなか	En pleine nuit	
