categorie	tag	word	prononciation	meaning	example
	composed	片付く	かたづく	Être arranger mis en ordre	片付ける
food		牛肉	ぎゅうにく	Viande de boeuf	
		牧	まき	pasture, grazing land	
		牧	まき	cette chose a une limite.	
money		物価	ぶっか	Les prix (en général)	
mental		物思いにふけます	ものおもい	Se perdre dans ses pensées	
	logic	特別(な)	とくべつ	Special	
	logic	特定	とくてい	déterminé, précis, spécifique	
mental		独り言	ひとりごと	Monologue Parler seul	
people		独身	どくしん	Célibat	
animal		猪	いのしし	Sanglier sauvage	
house		玄関	げんかん	Entrée, hall, vestibule	
food		玉ねぎ	たまねぎ	Oignon	
judgment		珍しい	めずらしい	Rare, curieux	
interact		現す	あらわす	Exprimer	
time		現代	げんだい	À notre époque, de nos jours...	
society		現職	げんしょく	Poste actuel	
money		現金	げんきん	Argent liquide	
mental		理想	りそう	idéal	
		環境	かんきょう	environnement	生活[社会]環境: a living [a social] environment.
food		瓶	びん	Bouteille	
mental		甘んじる	あまんじる	Se contenter de	
	double	生々,	せいせい	lively, growing up	
born		生える	はえる	Pousser grandir pousser	生やす
born		生まれ変わる	うまれかわる	to be born again,  to make a fresh start in life	
born		生まれ育つ	うまれそだつ	Naitre et grandir (être élevé)	
born		生死	せいし	life and death samsara (cycle of death and rebirth) death	
society		生涯	しょうがい	carrière, vie (toute une vie de)	
born		産声	うぶごえ	Premier cri d’un bébé	
preparation		用事	ようじ	Choses à faire	
preparation		用意	ようい	Préparation, arrangement, provision	
location		田畑	たはた	Champs (rizière er autre ceréales)	
location	ERROR	田畑	たはた	Je ne sais comment dire...	
people		男性	だんせい	Homme (genre)	
	expression	畏まりました	かしこまりました	Certainement Je n'y manquerai pas	
location		畑	はたけ	Champ	
house		留守,	るす	Absence de chez soit	
break		略する	りゃく	Supprimer	りゃく: suppression
screen		番組	ばんぐみ	émission (Télévision), programme	
cloth		畳む	たたむ	plier, replier (vêtements)	
mental		疎んじる	うとんじる	Négliger	
mental		疑い	うたがい	Doute	
language		疑問文	ぎもんぶん	interrogative sentence	
body		症状	しょうじょう	symptôme	よくこういう症状が起きますか。
body		癌	がん	Cancer	
character		癖がある	くせ	Avoir la mauvaise habitude	
mental		発明する	はつめい	Inventer	発明:はつめい (Invention)
body		発汗 (する)	はっかん	sweating, sudation,	
		発見する	はっけん	Découvrir (Fr découverte)	
movement		登る	のぼる	Grimper	
		登場	とうじょう	Entrée (en scène) Presence sur scene	
society		登録	とうろく	Enregistrement inscription	
character		皮肉	ひにく	cynisme, railleur, sarcasme	
		盗む	ぬすむ	Voler (détober)	
		監督	かんとく	Direction, mise en scène, Surveillance	
sleep		目が覚める	めがさめる	Se lever dans la nuit Snap out of smthg	
society	hierarchy	目上	めうえ	sénior, supérieur	
feeling		目眩	めまい	étourdissement,  vertige	
sleep		目覚まし	めざまし	Réveil matin	 覚まし(さまし) =  se reveiller
language		直喩	ちょくゆ	Comparaison	
interact		相談する	そうだん	Concerter	
interact	ERROR	相談する	そうだん	Consulter	
people		看護婦	かんごふ	Infirmière	
location		県	けん	préfecture	
people		真ん中に	まんあか	Au milieu de, au coeur de	
colour		真暗	まっくら	Noir absolu	
sleep		眠りすぎる	ねむりすぎす	Dormir trop	
sleep		眠る	ねむる	Dormir	睡る
surprise		眩む	くらむ	to be dazzled by,  to be dizzied by,  to be disoriented by	
		着られる	きられる	Être capable de porter...	
		着手する	ちゃくしゅ	Ce mettre à  Commencement	
cloth		着替える	きがえる	Se changer Se rhabiller	
		矢	や	flèche	
		知らせる	しらせる	Faire savoir	
interact	composed	知り合う	しりあう	commencer a connaitre qqu'un,  rencontrer	
		知れ渡る	しれわたる	to be well-known	
mental		知恵	ちえ	bon sens,  intelligence, raison,  sagacité, sagesse	
		石	いし	Pierre	
		石油	せきゆ	pétrole	
		砂	すな	sable	いさご
food		砂糖	さとう	Sucre	
school		研修:	けんしゅう	Stage	
break		破る	やぶる	Briser  casser dechirer detruire	破れる
break		破局	はきょく	catastrophe, dégradation	
	expression	碌でもない	ろくでもない	Bon à rien, sans valeur	
	expression	確か	たしか	assurément, certainement,  si je me souviens bien,  si je ne me trompes pas	
	expression	確り	しっかり	fermement, sainement, solidement	
reality		確実	かくじつ	Certitude, authenticité	
location		磯辺	いそべ	seashore, beach Grève	
country		社会的な	しゃかい	Sociétal	
	thanks	祈る	いのる	prier pour, souhaiter	
people		祖先	そせん	ancêtre	
country		祖国	そこく	Patrie, pays natal	
location		神戸	こうべ	Kobé	
location		神社	じんじゃ	Temple shinto	
judgment		神秘的	しんぴてき	Mystérieux	
		神輿	みこし	sancutaire porté par des personnes	
		祭り	まつり	Festival	
right		禁じる	きんじる	Interdire	
right		禁止	きんし	Interdiction prohebition	
