顔色が悪い	tag	word	prononciation	meaning	example
speed		速達に	そくたつ	En express, recommandé	
movement		連れる	つれる	Emmener, mener	
		連続	れんぞく	une succession, une série de...	
time		週末	しゅうまつ	Week end	
accomplish		進み	すすみ	progress	
school		進学	しんがく	Entrée à l'unviersité	
accomplish		進歩的な	しんぽ	Avancé (progrés)	進歩:しんぽ (Progrés)
		逸らす	そらす	détourner	
		遊び	あそび	Jeu	
circulation		運転席	うんてんせき	driver's seat (in a car)	
movement		過ぎる	よぎる	To go by, To cross, to pass by, to float across	
movement		道に迷う	まよう	se perdre dans la ville	
weather		道は凍っている	こおる	La route est gelée	
judgment		道具	どうぐ	Outils	
		道理	どうり	De bon sens	
		道草	みちくさ	Herbe aux bords du chemin, qui traine sur la route	
character		遠慮	えんりょ	défiance, distance, réserve declining, refraining	
judgment		遣る瀬無い	やるせない	helpless, cheerless, downhearted	
judgment		適当	てきとう	approprié, convenable, seyant	
		遮る	さえぎる	Intercepter, interrompre	
decide		選択する	せんたく	décider, fr un choix (recherché)	
		避ける	さける	Éviter, fuir	
judgment		邪魔	じゃま	Adj: in the way gêneur, intrus, obstacle	
location		郊外	こうがい	Banlieue	
location		都会	とかい	Ville	
people		都会人	とかいじん	Citadin	
time		都合	つごう	Schedule (convenance) circonstances, condition, occasion	
time		都合が悪い	つごう	Le planning (son emploi du temps) Ne convient pas	
location		里	さと	village, village natal	郷
judgment		重んじる	おもんじる	Attacher de l'importance à	
location		野原	のはら	champ, plaine	
judgment		野生	やせい	Sauvage	
	ERROR	野生	やせい	un boulot de protection des animaux sauvages.	
judgment		野郎	やろう	Trou du cul, batard	
food		釣り	つり	Pêche	
body		鉄拳	てっけん	Poing	
thing		鉄砲	てっぽう	fusil	
circulation		鉄道	てつどう	chemin(s) de fer	我々は鉄道施設の契約をした。
shape		錆びる	さびる	Rouiller	
food		鍋	なべ	casserole, marmite	
house		鍵	かぎ	Clef	
house		開けてっぱなし	あけてっぱなし	Grande ouverte	っぱなし keep -- ing (negatif)
society		開通	かいつう	opening, open, taking effect, becoming active	
time		間に合う	まにあう	arriver à temps	
	expression	関心ないけど	かんしん	"ça n'a pas de rapport mais...utilisé pour dire : revenons en au sujet."	
weather		防災	ぼうさい	prevention des dégats, catastrophes	
		防衛 (する)	ぼうえい	abri, auto-défense, défense, protection	
movement		降りる	おりる	Descendre (bus, escalier...)	
location		隅	すすみ	angle, coin, encoignure, recoin	角
		階段を降りる	かいだん	Descendre les escaliers	
lot	short	随分	ずいぶん	Assez, beaucoup, bien, considerablement	
location		際	きわ	bas-côté, bord, côté	
		隠す	かくす	Dissimuler	
language		隠喩	いんゆ	metaphor	
	short	隣	となり	Voisin, porte d'à coté	
		雑草	ざっそう	Herbes folles, mauvaises herbes	
interact		離れる	はなれる	Être séparé de, quitter, se détacher	
interact		離婚する	りこん	Divorce	
weather		雷	かみなり	tonnerre	
house		電気代	でんきだい	electric utility expense	
house		電池	でんち	Batterie pile	
house		電灯	でんとう	lampe, lumière électrique	
people		青年	せいねん	jeune homme,  jeunes	
weather		青空	あおぞら	Ciel bleu	
character		静かにします	しずけさ	To be quiet	
		静けさ	しずけさ	Silence, stillness	
judgment		面倒臭い	めんどくさい	Désagréable, ennuyeux, chiant	
shape		面影	おもかげ	aspect, trace,  trait marquant, traits,  vestiges (?)	
society		面接	めんせつ	entretien, interview	
country		革命的な	かくめい	Révolutionnaire	
cloth		靴を履く	はく	Porter des chaussures	
cloth		鞄	かばん	cartable, panier, sac, sacoche	
language		韓国語	かんこくご	Coréen	
sense		音	おと	Bruit	
people		音楽家	おんがくか	Musicien	
mental		響く	ひびく	influencer, résonner, retentir	
judgment		順調	じゅんちょう	favorable, normal, satisfaisant	
interact		預かる	あずかる	Confier à la garde Prendre en charge	
mental		頑張る	がんばる	Perserverer	
lot	short	頗る	すこぶる	extremely, very much	
interact		頼む	たのむ	Demander, faire confiance	
judgment		顔色が悪い	かおいろ	Avoir mauvaise mine	
shape		風	ふう	aspect, façon, méthode, manière, style	
weather		風が吹きました	ふく	Le vent souffle	
		風刺	ふうし	satire	
house	ERROR	風呂が沸きました。先に入ってください。		Le bain est bouillant, après vous.	
house		風呂	ふろ	Bain (style japonais)	
country		風紀	ふうき	discipline (parti),  morale publiquえ	
food		食べ放題	たべほうだい	Repas à volonté	
food		食器	しょっき	Service de vaisselle	
food		食堂	しょくどう	Caféteria	
food		飯	めし	nourriture, plat, repas	
mental	ERROR	飯	めし	Se retenir de boire trop	
house		飾る	かざる	Décorer	
food		餌	えさ	Nourriture (animaux)	
first		首位	しゅい	en tête, la tête, première position	
location		香港	ほんこん	Hong Kong	
judgment		馬鹿な	ばか	Con	
circulation		駐車場	ちゅうしゃじょう	Place de parking	 駐車 :ちゅうしゃ: parking
surprise		驚き	おどろき	Étonnement	Vient de 驚く (おどろ)
